longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,0.982118865674764,-0.8047995998018085,-0.9710820552736004,-0.9744049915469957,-0.9770091850452371,8.3252,452600.0,3
-122.22,37.86,-0.6070042082805065,2.0458405373571353,1.3506824109202669,0.8614179998296632,1.6699205725917963,8.3014,358500.0,3
-122.24,37.85,1.8561365563501628,-0.5357329073251563,-0.8261203025224991,-0.8207574684591945,-0.8436164798678768,7.2574,352100.0,3
-122.25,37.85,1.8561365563501628,-0.6241994689060658,-0.7191813045913589,-0.7660095004623918,-0.7337636638394623,5.6431,341300.0,3
-122.25,37.85,1.8561365563501628,-0.46239275264668206,-0.6122423066602186,-0.7598282782692044,-0.6291419342885914,3.8462,342200.0,3
-122.25,37.85,1.8561365563501628,-0.7869229370989304,-0.7714625924688052,-0.8940491030355594,-0.8017677880475284,4.0368,269700.0,3
-122.25,37.84,1.8561365563501628,-0.04618737484634102,-0.11557007182447836,-0.29270448681261346,0.037821591598210434,3.6591,299200.0,3
-122.25,37.84,1.8561365563501628,0.21462855022898283,0.35496151907253876,-0.23707348707392684,0.3856888423548561,3.12,241400.0,3
-122.26,37.84,1.0615750193725275,-0.03701985551153175,0.3026802311950924,-0.19380493172161503,0.24968059393872397,2.0804,226700.0,3
-122.25,37.84,1.8561365563501628,0.41860585542848916,0.40248996259749,0.11084101922833557,0.5609302393525648,3.6912,261100.0,3
-122.26,37.85,1.8561365563501628,-0.19882657177091545,-0.2462732915180942,-0.4551823273192538,-0.25511925114422807,3.2031,281500.0,3
-122.26,37.85,1.8561365563501628,0.39752056095842786,0.5094289605286302,0.06933852735979158,0.6132411041280003,3.2705,241800.0,3
-122.26,37.85,1.8561365563501628,-0.06635591738292143,-0.1512164044681918,-0.28917235984507783,-0.08249339738529109,3.075,213500.0,3
-122.26,37.84,1.8561365563501628,-0.8891407776820538,-0.8237438803462516,-0.9540952614836656,-0.851463109584192,2.6736,191300.0,3
-122.26,37.85,1.8561365563501628,0.0033172295616290585,0.20999976632143752,-0.18850674127031153,0.3150691749080183,1.9167,159200.0,3
-122.26,37.85,1.6972242489546359,-0.6947893677840972,-0.6051130401314759,-0.6432680883405276,-0.6160642180947326,2.125,140000.0,3
-122.27,37.85,1.8561365563501628,-0.30700329992166486,-0.45302202085163207,-0.5584970411196718,-0.44082282109702386,2.775,152500.0,3
-122.27,37.85,1.8561365563501628,-0.6452847633761271,-0.5813488183690003,-0.6865366436928395,-0.5140580317826334,2.1202,155500.0,3
-122.26,37.84,1.6972242489546359,-0.18186666100151827,-0.19636842581689543,-0.3845397879685406,-0.21065501608510792,1.9911,158700.0,3
-122.27,37.84,1.8561365563501628,-0.5192313725224996,-0.5694667074877625,-0.649449310533715,-0.5872932424682431,2.6033,162900.0,3
-122.27,37.85,0.9026627119770005,-0.8639300995113283,-0.8403788355799845,-0.8975812300030951,-0.8723874554943662,1.3578,147500.0,3
-122.27,37.85,1.0615750193725275,-0.4568922410457965,-0.40549357732668084,-0.4384047242234594,-0.34927880774001185,1.7135,159800.0,3
-122.27,37.84,1.8561365563501628,-0.09156659555364693,0.008003881340394819,-0.3624639944214427,-0.05633796499757336,1.725,113900.0,3
-122.27,37.84,1.8561365563501628,-0.4344318186755138,-0.4767862426141076,-0.5055151366066369,-0.4565160805296545,2.1806,99700.0,3
-122.27,37.84,1.8561365563501628,-0.18874230050262525,-0.23914402498935153,-0.37041128009839797,-0.2028083863687926,2.6,132600.0,3
-122.28,37.85,0.982118865674764,-0.9629393083272685,-0.9853405883310857,-0.9788201502564152,-0.9953179877166395,2.4038,107500.0,3
-122.28,37.85,1.6177680952568723,-0.6902056081166925,-0.6977935050051308,-0.7227409451100799,-0.6814527990640269,2.4597,93800.0,3
-122.28,37.85,1.8561365563501628,-0.3381728656600164,-0.27716677980931254,-0.28564023287754214,-0.2681969673380869,1.808,105500.0,3
-122.28,37.84,1.6972242489546359,-0.2538316877797711,-0.10844080529573567,-0.26003231236290864,-0.06941568119143222,1.6424,108900.0,3
-122.28,37.84,1.8561365563501628,-0.8740143707796185,-0.897412967809926,-0.9099436743894699,-0.9011584311208557,1.6875,132000.0,3
-122.28,37.84,1.6177680952568723,-0.32992209825868807,-0.21537980322687592,-0.4966848191877978,-0.3178922888747506,1.9274,122300.0,3
-122.28,37.84,1.8561365563501628,-0.22128699414119815,-0.13458144923445886,-0.22736013791320378,-0.15311306483212891,1.9615,115200.0,3
-122.27,37.84,1.5383119415591087,-0.32717184245824527,-0.30568384592428327,-0.3527506452607197,-0.43036064814193675,1.7969,110400.0,3
-122.27,37.83,1.6177680952568723,-0.4495582255779491,-0.4078699995029284,-0.5929352790531445,-0.4460539075745674,1.375,104900.0,3
-122.27,37.83,1.7766804026523992,0.01340150082991926,0.08642581315656434,-0.14788728114365146,0.09536354285118942,2.7303,109700.0,3
-122.27,37.83,1.6177680952568723,-0.6512436509437531,-0.6074894623077235,-0.7554131195597849,-0.6160642180947326,1.4861,97200.0,3
-122.27,37.83,1.5383119415591087,-0.3840104623340628,-0.25102613587058936,-0.38718888319419237,-0.32835446182983763,1.0972,104500.0,3
-122.28,37.83,1.8561365563501628,-0.5155643647885758,-0.35083586727298693,-0.46312961299620903,-0.2525037079054563,1.4103,103900.0,3
-122.26,37.83,1.8561365563501628,-0.5343577794249349,-0.49342119784784055,-0.650332342275599,-0.4983647723500028,3.48,191400.0,3
-122.26,37.83,1.8561365563501628,-0.09340009942060878,0.42150134000747047,-0.04280650385946559,0.5138504610546729,2.5898,176000.0,3
-122.26,37.83,1.8561365563501628,-0.44497446591054446,-0.28191962416180766,-0.4233931846114329,-0.27342805381563046,2.0978,155400.0,3
-122.26,37.83,1.7766804026523992,-0.7791305456643425,-0.5385732191965442,-0.8022138018796323,-0.6552973666763091,1.2852,150000.0,3
-122.26,37.84,1.6177680952568723,-0.8813483862474659,-0.7976032364075284,-0.8507805476832476,-0.8122299610026155,1.025,118800.0,3
-122.26,37.84,1.8561365563501628,-0.772713282129976,-0.7976032364075284,-0.8463653889738281,-0.7886900718536696,3.9643,188800.0,3
-122.26,37.83,1.8561365563501628,-0.5467339305269274,-0.5385732191965442,-0.6759402627902324,-0.542829007409123,3.0125,184400.0,3
-122.26,37.83,1.8561365563501628,-0.44909984961120863,-0.2795432019855601,-0.6247244217609654,-0.30743011591966346,2.6768,182300.0,3
-122.26,37.83,1.6972242489546359,-0.6924974879503949,-0.512432575257821,-0.7147936594331248,-0.5114424885438617,2.026,142500.0,3
